2-THETA,INTENSITY,D-SPACING,H,K,L,Multiplicity
14.47,6.09,6.1200,0,0,1,2
26.18,17.96,3.4035,1,0,0,6
29.18,15.34,3.0600,0,0,2,2
30.04,57.59,2.9745,0,1,1,6
30.04,42.41,2.9745,1,0,1,6
39.61,9.30,2.2755,0,1,2,6
39.61,9.30,2.2755,1,0,2,6
46.20,16.18,1.9650,1,1,0,3
52.28,7.75,1.7498,0,1,3,6
52.28,10.03,1.7498,1,0,3,6
53.87,3.27,1.7017,2,0,0,6
55.58,21.38,1.6534,1,1,2,6
56.10,7.80,1.6395,0,2,1,6
56.10,6.07,1.6395,2,0,1,6
60.51,3.13,1.5300,0,0,4,2
62.44,1.26,1.4872,0,2,2,6
62.44,1.26,1.4872,2,0,2,6
72.31,2.47,1.3068,0,2,3,6
72.31,3.09,1.3068,2,0,3,6
73.64,2.15,1.2864,2,1,0,6
75.52,4.32,1.2589,1,2,1,6
75.52,5.36,1.2589,2,1,1,6
79.37,4.94,1.2072,1,1,4,6
81.10,1.08,1.1859,2,1,2,6
81.10,1.08,1.1859,1,2,2,6
84.03,1.51,1.1518,1,0,5,6
84.03,1.87,1.1518,0,1,5,6
85.61,2.32,1.1345,3,0,0,6